Size,Chest_Min,Chest_Max,Jacket_Chest,Waist_Min,Waist_Max,Shoulder,Sleeve,Length,Height_Min,Height_Max,Weight_Min,Weight_Max,Chest_Avg,Waist_Avg,Height_Avg,Weight_Avg,Chest_Drop,Shoulder_Chest_Ratio,Waist_Chest_Ratio
34R,32,34,35.5,26,28,16.75,32.5,30.0,68,72,110,120,33.0,27.0,70.0,115.0,6.0,0.5075757575757576,0.8181818181818182
36R,34,36,37.5,29,30,17.25,32.5,30.5,68,72,130,140,35.0,29.5,70.0,135.0,5.5,0.4928571428571429,0.8428571428571429
38R,36,38,39.5,31,32,18.25,33.0,30.5,68,73,145,165,37.0,31.5,70.5,155.0,5.5,0.49324324324324326,0.8513513513513513
40R,38,40,41.5,34,35,19.0,33.5,31.0,69,73,160,180,39.0,34.5,71.0,170.0,4.5,0.48717948717948717,0.8846153846153846
42R,40,42,43.5,36,37,19.75,34.0,31.0,70,73,180,200,41.0,36.5,71.5,190.0,4.5,0.4817073170731707,0.8902439024390244
44R,42,44,45.5,38,39,20.25,34.0,31.0,70,73,200,220,43.0,38.5,71.5,210.0,4.5,0.47093023255813954,0.8953488372093024
46R,44,46,47.5,38,40,20.75,35.0,31.5,72,75,210,240,45.0,39.0,73.5,225.0,6.0,0.46111111111111114,0.8666666666666667
48R,46,48,49.5,42,43,21.75,35.0,31.75,73,77,240,260,47.0,42.5,75.0,250.0,4.5,0.4627659574468085,0.9042553191489362
50R,48,50,51.5,43,44,21.75,35.0,31.75,73,77,240,260,49.0,43.5,75.0,250.0,5.5,0.44387755102040816,0.8877551020408163
52R,50,52,53.5,43,44,22.25,36.0,31.75,73,77,260,275,51.0,43.5,75.0,267.5,7.5,0.4362745098039216,0.8529411764705882
54R,52,54,55.5,46,47,22.75,37.0,32.0,74,79,275,290,53.0,46.5,76.5,282.5,6.5,0.42924528301886794,0.8773584905660378
34S,32,34,35.5,26,28,16.75,30.5,27.5,63,68,110,120,33.0,27.0,65.5,115.0,6.0,0.5075757575757576,0.8181818181818182
36S,33,35,37.5,29,30,17.0,31.0,28.0,63,68,120,130,34.0,29.5,65.5,125.0,4.5,0.5,0.8676470588235294
38S,36,38,39.5,31,32,17.75,31.0,28.25,63,68,145,155,37.0,31.5,65.5,150.0,5.5,0.4797297297297297,0.8513513513513513
40S,38,40,41.5,34,35,18.25,31.0,28.5,63,68,160,170,39.0,34.5,65.5,165.0,4.5,0.46794871794871795,0.8846153846153846
42S,40,42,43.5,36,37,18.75,31.0,29.0,63,68,180,190,41.0,36.5,65.5,185.0,4.5,0.4573170731707317,0.8902439024390244
44S,42,44,45.5,38,39,19.25,31.0,29.5,63,68,200,210,43.0,38.5,65.5,205.0,4.5,0.4476744186046512,0.8953488372093024
46S,44,46,47.5,38,40,19.75,31.5,29.75,63,68,210,220,45.0,39.0,65.5,215.0,6.0,0.4388888888888889,0.8666666666666667
48S,46,48,49.5,42,43,20.0,31.75,30.25,63,68,240,260,47.0,42.5,65.5,250.0,4.5,0.425531914893617,0.9042553191489362
50S,48,50,51.5,43,44,20.5,32.0,30.5,63,68,240,260,49.0,43.5,65.5,250.0,5.5,0.41836734693877553,0.8877551020408163
38L,36,38,39.5,31,32,17.75,34.5,32.5,73,76,145,155,37.0,31.5,74.5,150.0,5.5,0.4797297297297297,0.8513513513513513
40L,38,40,41.5,34,35,18.5,34.5,32.5,73,76,170,180,39.0,34.5,74.5,175.0,4.5,0.47435897435897434,0.8846153846153846
42L,40,42,43.5,36,37,19.0,35.0,33.0,73,76,190,200,41.0,36.5,74.5,195.0,4.5,0.4634146341463415,0.8902439024390244
44L,42,44,45.5,38,39,19.75,35.0,33.5,73,76,210,220,43.0,38.5,74.5,215.0,4.5,0.45930232558139533,0.8953488372093024
46L,44,46,47.5,38,40,20.75,35.0,34.0,73,76,210,220,45.0,39.0,74.5,215.0,6.0,0.46111111111111114,0.8666666666666667
48L,46,48,49.5,42,43,21.75,35.0,34.0,73,77,240,260,47.0,42.5,75.0,250.0,4.5,0.4627659574468085,0.9042553191489362
50L,48,50,51.5,43,44,21.75,36.0,34.5,73,77,240,260,49.0,43.5,75.0,250.0,5.5,0.44387755102040816,0.8877551020408163
52L,50,52,53.5,43,44,22.25,36.0,34.5,73,77,260,275,51.0,43.5,75.0,267.5,7.5,0.4362745098039216,0.8529411764705882
54L,52,54,55.5,46,47,22.75,37.0,35.0,73,79,275,290,53.0,46.5,76.0,282.5,6.5,0.42924528301886794,0.8773584905660378 